fruits,vegetables,meat,poultry,seafood,grain,nuts,dairy
mangosteen,pink beans,,,,rice paper (spring roll wrappers),,
nectarines,pinto beans,,,,rice vermicelli,,
oranges,soy beans,,,,waffles,,
papaya,split peas,,,,white bread,,
passion fruit,white beans,,,,white rice,,
pawpaws,breadfruit,,,,white sandwich buns and rolls,,
peaches,burdock root,,,,,,
pears,cassava,,,,,,
persimmons,corn,,,,,,
pineapple,fufu,,,,,,
plums,green bananas,,,,,,
pluots,green lima beans,,,,,,
pomegranate,green peas,,,,,,
pomelos,hominy,,,,,,
prickly pears,jicama,,,,,,
prunes,lotus root,,,,,,
quince,parsnips,,,,,,
raisins,plantains,,,,,,
rambutan,"potatoes, white",,,,,,
rhubarb,salsify,,,,,,
sapote,tapioca,,,,,,
satsuma,taro root,,,,,,
soursop,water chestnuts,,,,,,
star fruit,yams,,,,,,
tamarind,yuca,,,,,,
tangerines,alfalfa sprouts,,,,,,
tangelos,arrowroot,,,,,,
tejocote,artichokes,,,,,,
apple,asparagus,,,,,,
apricot,avocado,,,,,,
Asian pear,bamboo shoots,,,,,,
banana,bean sprouts,,,,,,
cactus pear,beets,,,,,,
cherry,bitter melon,,,,,,
date,broccoflower,,,,,,
feijoa,Brussels sprouts,,,,,,
fig,cabbage,,,,,,
grape,cactus pad,,,,,,
kumquat,cauliflower,,,,,,
lemon,celeriac,,,,,,
llime,celery,,,,,,
loquat,chayote,,,,,,
lychee,chives,,,,,,
mango,cucumbers,,,,,,
mangosteen,daikon,,,,,,
nectarine,drumstick pods,,,,,,
orange,eggplant,,,,,,
pawpaw,fennel bulb,,,,,,
peache,fiddlehead ferns,,,,,,
pear,garlic,,,,,,
persimmon,ginger root,,,,,,
plum,green peppers,,,,,,
pluot,green beans,,,,,,
pomelo,hearts of palm,,,,,,
prickly pear,Jerusalem artichokes,,,,,,
prune,jute,,,,,,
raisin,kohlrabi,,,,,,
tangerine,leeks,,,,,,
tangelo,"lettuce, iceberg",,,,,,
,luffa,,,,,,
,mushrooms,,,,,,
,okra,,,,,,
,onions,,,,,,
,pattypan squash,,,,,,
,purslane,,,,,,
,radicchio,,,,,,
,radishes,,,,,,
,red cabbage,,,,,,
,rutabaga,,,,,,
,seaweed,,,,,,
,scallions,,,,,,
,snow peas,,,,,,
,sorrel,,,,,,
,spaghetti squash,,,,,,
,tomatillos,,,,,,
,turnips,,,,,,
,wax beans,,,,,,
,yellow squash,,,,,,
,zucchini,,,,,,
